2025-10-29 09:44:13;Ver reportes;
2025-10-29 09:45:04;Ver reportes;
2025-10-29 09:45:29;Ver reportes;
2025-10-29 09:45:44;Ver reportes;
2025-10-29 11:01:36;Ver reportes;
2025-10-29 11:21:31;Ver reportes;
2025-10-29 11:25:38;Ver reportes;
2025-10-29 11:32:04;Ver reportes;
2025-10-29 14:39:19;Tomar pedido;
2025-10-29 14:42:07;Tomar pedido;
2025-10-29 14:48:38;Tomar pedido;
2025-10-29 14:51:20;Tomar pedido;
2025-10-29 14:52:24;Cerrar mesa;
2025-10-29 14:53:07;Ver reportes;
2025-10-29 15:00:21;Ver reportes;
2025-10-29 15:00:31;Tomar pedido;
2025-10-29 15:00:55;Ver reportes;
2025-10-29 15:06:58;Ver reportes;
2025-10-29 15:08:05;Tomar pedido;
2025-10-29 15:08:28;Cerrar mesa;
2025-10-29 15:08:43;Ver reportes;
2025-10-29 15:10:58;Ver reportes;
2025-10-29 15:11:39;Ver reportes;
2025-10-29 15:13:51;Ver reportes;
2025-11-01 13:42:35;Ver reportes;
2025-11-01 13:43:47;Ver reportes;
2025-11-01 14:20:12;Agregar ingrediente;
2025-11-01 14:24:44;Ver reportes;
2025-11-01 14:25:57;Ver reportes;
2025-11-01 14:28:41;Ver reportes;
2025-11-01 14:28:52;Ver reportes;
2025-11-01 14:29:09;Agregar ingrediente;
2025-11-01 14:30:02;Ver reportes;
2025-11-01 14:31:27;Ver reportes;
2025-11-01 14:32:14;Agregar ingrediente;
2025-11-01 14:33:32;Ver reportes;
2025-11-01 14:33:55;Ver reportes;
2025-11-01 14:37:04;Ver reportes;
2025-11-01 14:37:16;Agregar ingrediente;
2025-11-01 14:47:04;Tomar pedido;
2025-11-01 14:48:02;Cerrar mesa;
2025-11-01 14:48:20;Ver reportes;
2025-11-01 14:51:03;Ver reportes;
2025-11-01 14:51:09;Ver reportes;
2025-11-01 14:52:25;Ver reportes;
2025-11-01 14:52:41;Agregar ingrediente;
2025-11-01 14:53:24;Tomar pedido;
2025-11-01 14:53:44;Cerrar mesa;
2025-11-01 14:55:16;Ver reportes;
